epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.151,0.73496,1.71653,1.18241,0.90478,0.7311,0.88646,0.76273,0.61911,1.3773,1.3943,0.000472805,0.000472805,0.000472805
2,100.342,0.75492,1.08344,1.16001,0.66575,0.66399,0.71581,0.55427,0.72875,2.28074,1.47672,0.000925647,0.000925647,0.000925647
3,149.79,0.75436,0.94722,1.16525,0.93924,0.94872,0.97744,0.86707,0.56746,0.64146,1.27802,0.00135491,0.00135491,0.00135491
4,198.859,0.72913,0.81816,1.1478,0.84343,0.76923,0.87211,0.77512,0.54193,0.81552,1.17248,0.0013229,0.0013229,0.0013229
5,246.244,0.70157,0.7482,1.11713,0.95085,0.99227,0.99402,0.87631,0.54787,0.61576,1.23386,0.00128753,0.00128753,0.00128753
6,294.218,0.68017,0.6809,1.10598,0.9963,0.97436,0.99402,0.9031,0.49456,0.48412,1.18082,0.00125216,0.00125216,0.00125216
7,343.166,0.66768,0.64016,1.09513,0.9273,0.98126,0.98679,0.88129,0.47199,0.49938,1.13141,0.00121679,0.00121679,0.00121679
8,390.668,0.65103,0.61444,1.08622,0.879,1,0.98474,0.87166,0.52806,0.4827,1.17432,0.00118143,0.00118143,0.00118143
9,441.969,0.63099,0.56728,1.07544,1,0.91739,0.9881,0.88115,0.56009,0.45682,1.22463,0.00114606,0.00114606,0.00114606
10,489.712,0.62144,0.54649,1.07302,0.99506,1,0.995,0.90616,0.45412,0.40242,1.11244,0.00111069,0.00111069,0.00111069
11,538.498,0.5947,0.51465,1.05633,0.95594,1,0.995,0.91948,0.39644,0.63073,1.02634,0.00107532,0.00107532,0.00107532
12,586.1,0.58721,0.48503,1.04485,0.95453,0.97436,0.98647,0.85667,0.54906,0.38999,1.16468,0.00103995,0.00103995,0.00103995
13,634.795,0.57477,0.47983,1.0548,1,0.99446,0.995,0.9311,0.40874,0.40022,1.02085,0.00100459,0.00100459,0.00100459
14,683.899,0.57177,0.46357,1.04382,0.99767,1,0.995,0.89698,0.45851,0.43858,1.10352,0.000969219,0.000969219,0.000969219
15,732.57,0.54943,0.45427,1.03234,0.99396,1,0.995,0.93502,0.41185,0.36617,1.04281,0.000933851,0.000933851,0.000933851
16,780.329,0.55003,0.44804,1.03223,0.99333,1,0.995,0.90507,0.43198,0.29609,1.05758,0.000898484,0.000898484,0.000898484
17,827.24,0.54229,0.44201,1.02586,0.99841,1,0.995,0.93067,0.36047,0.25587,0.97238,0.000863116,0.000863116,0.000863116
18,875.92,0.52279,0.41922,1.01421,0.99179,1,0.995,0.90594,0.4444,0.31657,1.07133,0.000827748,0.000827748,0.000827748
19,922.749,0.53522,0.41564,1.02345,0.99809,1,0.995,0.93123,0.37164,0.25005,0.96574,0.00079238,0.00079238,0.00079238
20,972.308,0.51275,0.39804,1.01504,0.99275,1,0.995,0.93322,0.38134,0.30394,0.99487,0.000757013,0.000757013,0.000757013
21,1020,0.51355,0.39209,1.01067,0.99836,1,0.995,0.93707,0.34606,0.22256,0.95257,0.000721645,0.000721645,0.000721645
22,1067.51,0.49831,0.37956,1.00054,0.99645,1,0.995,0.9438,0.34155,0.24064,0.9562,0.000686277,0.000686277,0.000686277
23,1115.78,0.48543,0.36862,0.9951,0.99202,1,0.995,0.94067,0.35452,0.29892,0.96725,0.000650909,0.000650909,0.000650909
24,1162.28,0.46871,0.37022,0.99068,0.9884,1,0.995,0.9368,0.33825,0.27173,0.95357,0.000615542,0.000615542,0.000615542
25,1210.62,0.47157,0.36253,0.99175,0.99665,1,0.995,0.94888,0.36607,0.24199,0.98382,0.000580174,0.000580174,0.000580174
26,1259.75,0.45128,0.34141,0.97826,0.99799,1,0.995,0.95058,0.35774,0.23453,0.97768,0.000544806,0.000544806,0.000544806
27,1307.08,0.44699,0.33313,0.97201,0.99715,1,0.995,0.95785,0.32617,0.20834,0.94725,0.000509438,0.000509438,0.000509438
28,1355.22,0.44816,0.33769,0.97524,0.99783,1,0.995,0.95838,0.31594,0.22084,0.93848,0.000474071,0.000474071,0.000474071
29,1402.36,0.43984,0.31682,0.96947,0.998,1,0.995,0.95479,0.31685,0.19965,0.9395,0.000438703,0.000438703,0.000438703
30,1450.84,0.44913,0.34819,0.97714,0.99806,1,0.995,0.95931,0.31445,0.1923,0.93323,0.000403335,0.000403335,0.000403335
31,1500.76,0.34919,0.25899,0.90866,0.99845,1,0.995,0.95278,0.29092,0.19574,0.93469,0.000367967,0.000367967,0.000367967
32,1546.3,0.34168,0.23856,0.89976,0.99842,1,0.995,0.95386,0.29773,0.19918,0.93214,0.0003326,0.0003326,0.0003326
33,1592.8,0.33262,0.25552,0.8917,0.99856,1,0.995,0.96687,0.27406,0.18761,0.90739,0.000297232,0.000297232,0.000297232
34,1638.9,0.31928,0.21881,0.8826,0.99822,1,0.995,0.97303,0.28262,0.18982,0.90285,0.000261864,0.000261864,0.000261864
35,1684.13,0.30821,0.21963,0.88618,0.99751,1,0.995,0.97243,0.26924,0.1854,0.89928,0.000226497,0.000226497,0.000226497
36,1730.58,0.30162,0.20814,0.88886,0.99863,1,0.995,0.96026,0.27649,0.17305,0.90153,0.000191129,0.000191129,0.000191129
37,1777.52,0.29079,0.19833,0.87199,0.99861,1,0.995,0.96981,0.24375,0.16911,0.88639,0.000155761,0.000155761,0.000155761
38,1823.76,0.28696,0.19556,0.87193,0.99864,1,0.995,0.97879,0.23566,0.15982,0.87385,0.000120393,0.000120393,0.000120393
39,1871.22,0.27655,0.19803,0.86428,0.99863,1,0.995,0.98274,0.22246,0.14799,0.87223,8.50255e-05,8.50255e-05,8.50255e-05
40,1917.05,0.26895,0.18486,0.8587,0.99863,1,0.995,0.97934,0.22108,0.14304,0.87049,4.96578e-05,4.96578e-05,4.96578e-05
